Judul,Link,Ringkasan,Tanggal
Tidak Ada Menang Kalah dalam Politik Kebangsaan,https://news.detik.com/kolom/d-7500519/tidak-ada-menang-kalah-dalam-politik-kebangsaan,"Kompetisi kita ke depan bukanlah persaingan politik gontok- gontokan sesama anak bangsa, tapi kerja sama untuk kemaslahatan bangsa dan negara.","Rabu, 21 Agu 2024 09:49 WIB"
Hasbi Singgung Sanuji Jadikan Isu DOB Cilangkahan Dagangan Politik,https://news.detik.com/pilkada/d-7606978/hasbi-singgung-sanuji-jadikan-isu-dob-cilangkahan-dagangan-politik,"Hasbi Jayabaya menyinggung Sanuji Pentamarta soal DOB Cilangkahan dalam debat Pilbup Lebak 2024. Menurut Hasbi, Sanuji menjual isu DOB Cilangkahan.","Sabtu, 26 Okt 2024 00:54 WIB"
"Jadi Stafsus di Kementerian, Raline Shah Ternyata Hobi Kulineran",https://food.detik.com/foto-kuliner/d-7731089/jadi-stafsus-di-kementerian-raline-shah-ternyata-hobi-kulineran,"Kabar mengejutkan datang dari Raline Shah yang ternyata ditunjuk sebagai staf khusus di Kementrian Komdigi. Selain di dunia politik, artis ini juga foodies!","Senin, 13 Jan 2025 22:00 WIB"
Menekan Biaya Politik: Pelajaran dari Pilkada Situbondo,https://news.detik.com/kolom/d-7760661/menekan-biaya-politik-pelajaran-dari-pilkada-situbondo,Mahalnya biaya politik kerap menjadi keluhan klasik setiap pemilu dan pilkada.,"Senin, 03 Feb 2025 12:20 WIB"
Komunikasi Politik Pj Gubernur Jadi Faktor Pemilu-Pilkada Jateng Kondusif,https://www.detik.com/jateng/jawa-tengah-meriah/d-7763846/komunikasi-politik-pj-gubernur-jadi-faktor-pemilu-pilkada-jateng-kondusif,"Pj Gubernur Jawa Tengah (Jateng), Nana Sudjana, mendapat apresiasi lantaran dinilai sukses dalam membantu pelaksanaan Pemilu dan Pilkada 2024.","Rabu, 05 Feb 2025 09:30 WIB"
Dinar Candy Ngaku Tolak Tawaran Tiga Partai Politik Besar,https://hot.detik.com/celeb/d-7529327/dinar-candy-ngaku-tolak-tawaran-tiga-partai-politik-besar,Dinar Candy menolak tawaran mencalonkan diri sebagai anggota legislatif karena merasa belum kompeten. Ia lebih memilih fokus pada bisnis saat ini.,"Sabtu, 07 Sep 2024 17:01 WIB"
"Bursa Capres 2029 Partai Buruh: Prabowo Nomor 1, Ada Anies-Rocky Gerung",https://news.detik.com/berita/d-7785708/bursa-capres-2029-partai-buruh-prabowo-nomor-1-ada-anies-rocky-gerung,Partai Buruh memaparkan 130 nama masuk bursa calon presiden dan wakil presiden 2029 yang akan mereka dukung.,"Rabu, 19 Feb 2025 14:50 WIB"
"Jimly Sebut Politik RI Seperti Kerajaan, PD: Negara Terus Berproses",https://news.detik.com/berita/d-7500419/jimly-sebut-politik-ri-seperti-kerajaan-pd-negara-terus-berproses,Jimly Asshiddiqie menyebut budaya politik Indonesia seperti kerajaan atau monarki. Partai Demokrat (PD) berbicara perlu proses untuk menjadi negara maju.,"Rabu, 21 Agu 2024 08:42 WIB"
"Cerita Vicky Kapok Ajak Orang Terjun ke Politik, Berawal dari Dede Sunandar",https://www.detik.com/sumut/berita/d-7724450/cerita-vicky-kapok-ajak-orang-terjun-ke-politik-berawal-dari-dede-sunandar,Vicky Prasetyo mengungkap beban moril setelah Dede Sunandar gagal jadi caleg. Ia berjanji akan terus mendukung Dede meski kapok ajak orang berpolitik.,"Kamis, 09 Jan 2025 17:00 WIB"
Pesan Gus Yahya: NU Tidak Boleh Berkonsolidasi sebagai Identitas Politik,https://www.detik.com/hikmah/khazanah/d-7762958/pesan-gus-yahya-nu-tidak-boleh-berkonsolidasi-sebagai-identitas-politik,Ketum PBNU memberi pesan untuk NU agar tidak berkonsolidasi sebagai identitas politik.,"Selasa, 04 Feb 2025 17:02 WIB"
"Video: Prabowo Gelontorkan Rp 48,8 T untuk Jadikan IKN Ibu Kota Politik",https://20.detik.com/detikupdate/20250121-250121133/video-prabowo-gelontorkan-rp-48-8-t-untuk-jadikan-ikn-ibu-kota-politik,"Kepala Otorita IKN Basuki Hadimuljono mengatakan Presiden Prabowo Subianto menargetkan Ibu Kota Nusantara (IKN) menjadi ibu kota politik pada 2028. Prabowo disebut mengucurkan dana Rp 48,8 triliun dari APBN.","35,870 Views  |  Selasa, 21 Jan 2025 19:31 WIB"
"Menteri Imipas: Agus Difabel Tak Akan Dapat Amnesti, Dampak Kasusnya Luas",https://news.detik.com/berita/d-7785653/menteri-imipas-agus-difabel-tak-akan-dapat-amnesti-dampak-kasusnya-luas,Menteri Imipas Agus Andrianto mengatakan terdakwa pelecehan seksual Agus Difabel tak termasuk yang mendapat amnesti dari pemerintah.,"Rabu, 19 Feb 2025 14:28 WIB"
Kebijakan & Ekonomi Politik Oligarki Eksploitasi Sumber Daya Alam,https://news.detik.com/kolom/d-7483080/kebijakan-ekonomi-politik-oligarki-eksploitasi-sumber-daya-alam,"Ekonomi politik sumber daya alam, khususnya pertambangan sangat bersifat politis sehingga menjadi titik sentral pengaturan negara di dalam konstitusi.","Sabtu, 10 Agu 2024 14:23 WIB"
"Rapimnas Gerindra, Prabowo Cerita Awal Mula Belajar Politik dari Jokowi",https://news.detik.com/berita/d-7518569/rapimnas-gerindra-prabowo-cerita-awal-mula-belajar-politik-dari-jokowi,Prabowo kemudian memuji ilmu politik Jokowi. Prabowo mengaku bahwa dia belajar politik ke orang Solo tersebut.,"Sabtu, 31 Agu 2024 21:24 WIB"
Donald Trump Ingin Caplok Kanada Hebohkan Linimasa,https://inet.detik.com/fotoinet/d-7724594/donald-trump-ingin-caplok-kanada-hebohkan-linimasa,Presiden Amerika Serikat ingin menjadikan Kanada sebagai negara bagian. Hal itu tentu memicu reaksi di media sosial.,"Kamis, 09 Jan 2025 13:07 WIB"
Sekolah untuk Para Jagoan Politik,https://news.detik.com/kolom/d-7721415/sekolah-untuk-para-jagoan-politik,"Masih dalam suasana pilkada serentak, kita bisa melihat di beberapa daerah, mereka yang berlatar jagoan ini masuk ke arena tarung elektoral.","Rabu, 08 Jan 2025 10:15 WIB"
Komitmen Politik Mewujudkan Generasi Emas,https://news.detik.com/kolom/d-7730022/komitmen-politik-mewujudkan-generasi-emas,Generasi Emas hanya akan menjadi harapan yang utopis jika tidak ada strategi yang tepat untuk mengatasi permasalahan-permasalahan yang mengancam.,"Senin, 13 Jan 2025 13:04 WIB"
"Prabowo Bilang Intel Jangan Ngintelin Lawan Politik, Ini Kata PDIP",https://news.detik.com/berita/d-7508519/prabowo-bilang-intel-jangan-ngintelin-lawan-politik-ini-kata-pdip,"Prabowo mengatakan bahwa intel harus digunakan untuk kepentingan bangsa, bukan untuk ngintelin lawan politik. Ini kata politikus PDIP.","Senin, 26 Agu 2024 09:00 WIB"
Kaburnya Terpidana Politik Uang Sleman,https://www.detik.com/jogja/pilkada/d-7728655/kaburnya-terpidana-politik-uang-sleman,"PT Yogyakarta menjatuhkan vonis 3 tahun penjara terhadap lima terdakwa kasus politik uang di Sleman. Usai vonis, lima terdakwa sempat melarikan diri.","Minggu, 12 Jan 2025 09:34 WIB"
Kata Prabowo Ada yang Ingin Pisahkan Dirinya dengan Jokowi,https://news.detik.com/berita/d-7772534/kata-prabowo-ada-yang-ingin-pisahkan-dirinya-dengan-jokowi,Presiden Prabowo tiba-tiba bicara terkait hubungannya dengan Presiden ke-7 Jokowi. Prabowo mengaku ada pihak-pihak yang ingin memisahkan dirinya dengan Jokowi.,"Selasa, 11 Feb 2025 08:23 WIB"
"Ayah Rojak Ditawari Masuk Politik, Ayu Ting Ting: Nggak Usah Banyak Gaya!",https://hot.detik.com/celeb/d-7666032/ayah-rojak-ditawari-masuk-politik-ayu-ting-ting-nggak-usah-banyak-gaya,"Ayu Ting Ting menolak tawaran ayahnya untuk terjun ke politik, menganggapnya bukan bidang yang tepat. Ia lebih memilih fokus pada usaha warung makan keluarga.","Senin, 02 Des 2024 12:02 WIB"
Annisa Pohan Bicara Kehadiran Perempuan di Politik demi Kurangi Diskriminasi,https://news.detik.com/pemilu/d-7447080/annisa-pohan-bicara-kehadiran-perempuan-di-politik-demi-kurangi-diskriminasi,"Annisa Pohan bicara soal peran perempuan di politik saat Seminar Perempuan dan Politik yang diadakan PDRI di gedung MPR/DPR/DPD RI, Senayan, Jakarta.","Jumat, 19 Jul 2024 15:45 WIB"
